Probe_ID,Probe_Chr,Probe_Start,Probe_End,Unique_GencodeV36_Name,Unique_UCSC_RefGene_Name,Unique_UCSC_RefGene_Group,UCSC_RefGene_Name,UCSC_RefGene_Group,CoRSIV_Chr,CoRSIV_Start,CoRSIV_End,CoRSIV_ID,EPIC,HM450,ME_ID,SIV_ID,ESS_ID,CoRSIV2019_ID
cg25018832,chr1,629090.0,629092.0,AL669831.3;MTND1P23;MTND2P28,LOC101928626,TSS200,LOC101928626,TSS200,chr1,629020,629220,1_629020_629220,True,False,ME_GB2015_chr1:564401-564600,,,
cg26679879,chr1,629120.0,629122.0,AL669831.3;MTND1P23;MTND2P28,LOC101928626,TSS200,LOC101928626,TSS200,chr1,629020,629220,1_629020_629220,True,False,ME_GB2015_chr1:564401-564600,,,
cg22519184,chr1,629123.0,629125.0,AL669831.3;MTND1P23;MTND2P28,LOC101928626,TSS200,LOC101928626,TSS200,chr1,629020,629220,1_629020_629220,True,False,ME_GB2015_chr1:564401-564600,,,
cg02288058,chr1,630222.0,630224.0,AL669831.3;MTCO1P12;MTND2P28,LOC101928626,TSS1500,LOC101928626,TSS1500,chr1,630100,630700,1_630100_630700,True,False,,,,1_17
cg09139287,chr1,852017.0,852019.0,LINC01128,LOC643837,Body,LOC643837,Body,chr1,851900,852100,1_851900_852100,True,True,,,,1_48
cg05662829,chr1,852042.0,852044.0,LINC01128,LOC643837,Body,LOC643837,Body,chr1,851900,852100,1_851900_852100,True,True,,,,1_48
cg10955566,chr1,1067745.0,1067747.0,AL390719.1,,Intergenic,,Intergenic,chr1,1067500,1068200,1_1067500_1068200,True,True,,,,1_188
cg08709360,chr1,1067995.0,1067997.0,AL390719.1,,Intergenic,,Intergenic,chr1,1067500,1068200,1_1067500_1068200,True,True,,,,1_188
cg01244934,chr1,1068036.0,1068038.0,AL390719.1,,Intergenic,,Intergenic,chr1,1067500,1068200,1_1067500_1068200,True,True,,,,1_188
cg15899727,chr1,1068148.0,1068150.0,AL390719.1,,Intergenic,,Intergenic,chr1,1067500,1068200,1_1067500_1068200,True,True,,,,1_188
cg18224942,chr1,1290400.0,1290402.0,SCNN1D,SCNN1D,Body,SCNN1D;SCNN1D,Body;Body,chr1,1289900,1290500,1_1289900_1290500,True,True,,,,1_340
cg23586413,chr1,1967365.0,1967367.0,CFAP74,CFAP74,Body,CFAP74,Body,chr1,1967300,1967600,1_1967300_1967600,True,False,,,,1_707
cg12639453,chr1,2104340.0,2104342.0,PRKCZ,PRKCZ,TSS1500;Body;5'UTR,PRKCZ;PRKCZ;PRKCZ,TSS1500;Body;5'UTR,chr1,2104200,2104400,1_2104200_2104400,True,True,,,,1_846
cg01150497,chr1,2189538.0,2189540.0,FAAP20,FAAP20,Body;5'UTR,FAAP20;FAAP20;FAAP20;FAAP20;FAAP20,Body;Body;5'UTR;5'UTR;Body,chr1,2189514,2190114,1_2189545_2190083,True,False,,,ESS_chr1_2120985_2121522_C1orf86,
cg20300514,chr1,2189545.0,2189547.0,FAAP20,LOC100128003;C1orf86,Body,C1orf86;LOC100128003,Body;Body,chr1,2189514,2190114,1_2189545_2190083,True,True,,,ESS_chr1_2120985_2121522_C1orf86,
cg26227225,chr1,2189599.0,2189601.0,FAAP20,LOC100128003;C1orf86,3'UTR;Body,C1orf86;LOC100128003;C1orf86,Body;Body;3'UTR,chr1,2189514,2190114,1_2189545_2190083,True,True,,,ESS_chr1_2120985_2121522_C1orf86,
cg05337761,chr1,2189909.0,2189911.0,FAAP20,LOC100128003;C1orf86,Body,C1orf86;LOC100128003;C1orf86,Body;Body;Body,chr1,2189514,2190114,1_2189545_2190083,True,True,,,ESS_chr1_2120985_2121522_C1orf86,
cg08200543,chr1,2190009.0,2190011.0,FAAP20,LOC100128003;C1orf86,Body,C1orf86;LOC100128003;C1orf86,Body;Body;Body,chr1,2189514,2190114,1_2189545_2190083,True,True,,,ESS_chr1_2120985_2121522_C1orf86,
